game_id,white_rating,rolling_10_white
269,1437,1553.5
270,1516,1540.2
271,1513,1548.9
272,1355,1528.7
273,1638,1536.8
274,1613,1537.4
275,1865,1568.2
276,1776,1592.3
277,1568,1577.8
278,1605,1588.6
279,1518,1596.7
280,1728,1617.9
281,1515,1618.1
282,1538,1636.4
283,1511,1623.7
284,1464,1608.8
285,1470,1569.3
286,1490,1540.7
287,1611,1545.0
288,1611,1545.6
289,1584,1552.2
290,1942,1573.6
291,1217,1543.8
292,1611,1551.1
293,1611,1561.1
294,1486,1563.3
295,1453,1561.6
296,1340,1546.6
297,1532,1538.7
298,1560,1533.6
299,1571,1532.3
300,1580,1496.1
301,1531,1527.5
302,1449,1511.3
303,1743,1524.5
304,1604,1536.3
305,1550,1546.0
306,1630,1575.0
307,1475,1569.3
308,1605,1573.8
309,1475,1564.2
310,1570,1563.2
311,1605,1570.6
312,1500,1575.7
313,1605,1561.9
314,1513,1552.8
315,1790,1576.8
316,1864,1600.2
317,1496,1602.3
318,1851,1626.9
319,1861,1665.5
320,1618,1670.3
321,1620,1671.8
322,1621,1683.9
323,1633,1686.7
324,1623,1697.7
325,1612,1679.9
326,1605,1654.0
327,1693,1673.7
328,1631,1651.7
329,1636,1629.2
330,1613,1628.7
331,1627,1629.4
332,1480,1615.3
333,1631,1615.1
334,1687,1621.5
335,1630,1623.3
336,1414,1604.2
337,1619,1596.8
338,1629,1596.6
339,1649,1597.9
340,1677,1604.3
341,1705,1612.1
342,1647,1628.8
343,1637,1629.4
344,1626,1623.3
345,1602,1620.5
346,1634,1642.5
347,1611,1641.7
348,1579,1636.7
349,1995,1671.3
350,1589,1662.5
351,1570,1649.0
352,1559,1640.2
353,1546,1631.1
354,1550,1623.5
355,1560,1619.3
356,1840,1639.9
357,1660,1644.8
358,1534,1640.3
359,1789,1619.7
360,1841,1644.9
361,1926,1680.5
362,1629,1687.5
363,1860,1718.9
364,1500,1713.9
365,1780,1735.9
366,966,1648.5
367,884,1570.9
368,945,1512.0
369,971,1430.2
370,1238,1369.9
371,972,1274.5
372,1107,1222.3
373,974,1133.7
374,1203,1104.0
375,998,1025.8
376,1016,1030.8
377,1025,1044.9
378,1047,1055.1
379,998,1057.8
380,1127,1046.7
381,1020,1051.5
382,1069,1047.7
383,1071,1057.4
384,1115,1048.6
385,1190,1067.8
386,1337,1099.9
387,1500,1147.4
388,1500,1192.7
389,1367,1229.6
390,1590,1275.9
391,1377,1311.6
392,1558,1360.5
393,1476,1401.0
394,1376,1427.1
395,1460,1454.1
396,1372,1457.6
397,1373,1444.9
398,1500,1444.9
399,1382,1446.4
400,1320,1419.4
401,1383,1420.0
402,1383,1402.5
403,1469,1401.8
404,959,1360.1
405,1357,1349.8
406,959,1308.5
407,1588,1330.0
408,1541,1334.1
409,1517,1347.6
410,1569,1372.5
411,1563,1390.5
412,1903,1442.5
413,1612,1456.8
414,1327,1493.6
415,1245,1482.4
416,1921,1578.6
417,1462,1566.0
418,1450,1556.9
419,1439,1549.1
420,1728,1565.0
421,1547,1563.4
422,1863,1559.4
423,1559,1554.1
424,1570,1578.4
425,1562,1610.1
426,1576,1575.6
427,1353,1564.7
428,1591,1578.8
429,1560,1590.9
430,1727,1590.8
431,1579,1594.0
432,1877,1595.4
433,1536,1593.1
434,1529,1589.0
435,1590,1591.8
436,1653,1599.5
437,1675,1631.7
438,1547,1627.3
439,1507,1622.0
440,1641,1613.4
441,1496,1605.1
442,1482,1565.6
443,1486,1560.6
444,1919,1599.6
445,1488,1589.4
446,1470,1571.1
447,1465,1550.1
448,1586,1554.0
449,1548,1558.1
450,1500,1544.0
451,1509,1545.3
452,1356,1532.7
453,1495,1533.6
454,1529,1494.6
455,1631,1508.9
456,1546,1516.5
457,1568,1526.8
458,1354,1503.6
459,1626,1511.4
460,1639,1525.3
461,1646,1539.0
462,1646,1568.0
463,1657,1584.2
464,1667,1598.0
465,1683,1603.2
466,1596,1608.2
467,1769,1628.3
468,1668,1659.7
469,1752,1672.3
470,1688,1677.2
471,1582,1670.8
472,1693,1675.5
473,1676,1677.4
474,1142,1624.9
475,1678,1624.4
476,1154,1580.2
477,1686,1571.9
478,1102,1515.3
479,1684,1508.5
480,1493,1489.0
481,1525,1483.3
482,1709,1484.9
483,1692,1486.5
484,1688,1541.1
485,1699,1543.2
486,1703,1598.1
487,1694,1598.9
488,1696,1658.3
489,1572,1647.1
490,1392,1637.0
491,1707,1655.2
